sequence_id,collection_date,location,host
KR024778.1,2014-07-24,Turkey:Nigde,calf (Bos taurus)
KR024780.1,2015-03-17,Turkey:Antalya,cattle (Bos taurus)
MN845071.1,2018-12-16,Egypt:Kafr El-Sheikh,Rhipicephalus annulatus (tick vector; cattle-associated)
MN879402.1,2018-08-15,Egypt:Beheira,Rhipicephalus annulatus (tick vector; cattle-associated)
MN879403.1,2018-08-15,Egypt:Kafr El-Sheikh,Rhipicephalus annulatus (tick vector; cattle-associated)
PZ284714.1,2022-11-15,Thailand:Sukhothai,Bos taurus
LC853218.1,2024-11-06,Japan:Fukuoka,Bos taurus
PX898068.1,2025-10-15,India:Maharashtra,bovine
PX685744.1,2023-06-15,Bangladesh:Kurigram,Bos indicus
